GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1527, 82)           | Memory: 0.4776 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(457, 450)           | Memory: 0.7844 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(851,)               | Memory: 0.0129 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(851, 1)             | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(851, 932)           | Memory: 121.02 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2553,)              | Memory: 0.3700 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1828,)              | Memory: 0.0139 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(851, 3)             | Memory: 0.0194 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(851, 3, 450)        | Memory: 170.91 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(851, 482)           | Memory: 3.1294 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(714, 6)             | Memory: 0.0326 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(457, 932)           | Memory: 1.6247 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(945,)               | Memory: 0.0144 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3780,)              | Memory: 0.5479 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2520,)              | Memory: 0.0192 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(945, 1)             | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(504, 932)           | Memory: 1.7918 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(945, 4)             | Memory: 0.0288 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(504,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(945, 4, 450)        | Memory: 253.06 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(504, 5)             | Memory: 0.0192 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(945, 482)           | Memory: 3.4751 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(3780, 450)          | Memory: 129.77 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 80 * Size:(945, 450)           | Memory: 129.77 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(945, 932)           | Memory: 134.39 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(504, 450)           | Memory: 0.8651 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:744.1  Mb Total Allocated Memory:632.5  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:744.1  Mb Total Allocated Memory:632.5  Mb

+ | 1 * Size:(734, 521)           | Memory: 1.4587 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1561, 6)            | Memory: 0.0714 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1561, 82)           | Memory: 0.4882 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(734, 6)             | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9366,)              | Memory: 0.1429 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1561, 450)          | Memory: 5.3592 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4404,)              | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:751.8  Mb Total Allocated Memory:649.5  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(734, 521)           | Memory: 1.4587 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(3780,)              | Memory: 0.5479 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1561, 6)            | Memory: 0.0714 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1561, 82)           | Memory: 0.4882 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(504, 5)             | Memory: 0.0192 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1561, 450)          | Memory: 5.3592 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4404,)              | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(945, 932)           | Memory: 134.39 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(945,)               | Memory: 0.0144 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(2520,)              | Memory: 0.0192 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(504, 932)           | Memory: 1.7918 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(945, 482)           | Memory: 3.4751 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(945, 450)           | Memory: 129.77 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(504, 450)           | Memory: 0.8651 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(945, 1)             | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(945, 4)             | Memory: 0.0288 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(734, 6)             | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(945, 4, 450)        | Memory: 253.06 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9366,)              | Memory: 0.1429 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(504,)               | Memory: 0.0038 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(3780, 450)          | Memory: 129.77 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(468, 450)           | Memory: 0.8033 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(873, 450)           | Memory: 119.88 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2619, 450)          | Memory: 89.916 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1872,)              | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(2619,)              | Memory: 0.3796 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(468, 4)             | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(873, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(468, 932)           | Memory: 1.6638 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(468,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(873, 482)           | Memory: 3.2103 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(873, 3, 450)        | Memory: 175.33 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(873,)               | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 40 * Size:(873, 932)           | Memory: 124.15 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(873, 3)             | Memory: 0.0199 M | <class 'torch.Tensor'> | torch.int64
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:605.8  Mb Total Allocated Memory:531.8  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:605.8  Mb Total Allocated Memory:531.8  Mb

+ | 1 * Size:(704, 521)           | Memory: 1.3991 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1505, 6)            | Memory: 0.0688 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(704, 6)             | Memory: 0.0322 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1505, 82)           | Memory: 0.4707 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9030,)              | Memory: 0.1377 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1505, 450)          | Memory: 5.1670 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4224,)              | Memory: 0.0322 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:613.2  Mb Total Allocated Memory:548.2  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 20 * Size:(2619, 450)          | Memory: 89.916 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(704, 6)             | Memory: 0.0322 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(468, 4)             | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(468, 932)           | Memory: 1.6638 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(873,)               | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1505, 82)           | Memory: 0.4707 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(468, 450)           | Memory: 0.8033 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2619,)              | Memory: 0.3796 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(873, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(468,)               | Memory: 0.0035 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(873, 3)             | Memory: 0.0199 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1505, 6)            | Memory: 0.0688 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(873, 450)           | Memory: 119.88 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1505, 450)          | Memory: 5.1670 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4224,)              | Memory: 0.0322 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(873, 932)           | Memory: 124.15 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(704, 521)           | Memory: 1.3991 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1872,)              | Memory: 0.0142 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(873, 482)           | Memory: 3.2103 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(873, 3, 450)        | Memory: 175.33 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9030,)              | Memory: 0.1377 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(447, 4)             | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(447, 450)           | Memory: 0.7673 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(831,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2493, 450)          | Memory: 85.590 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(831, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(447, 932)           | Memory: 1.5892 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(447,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(831, 3)             | Memory: 0.0190 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(831, 932)           | Memory: 118.17 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(831, 450)           | Memory: 114.12 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2493,)              | Memory: 0.3613 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 39 * Size:(831, 3, 450)        | Memory: 166.90 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1788,)              | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(831, 482)           | Memory: 3.0558 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:581.0  Mb Total Allocated Memory:505.1  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:581.0  Mb Total Allocated Memory:505.1  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(732, 521)           | Memory: 1.4548 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(732, 6)             | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1579, 82)           | Memory: 0.4939 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4392,)              | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1579, 450)          | Memory: 5.4210 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9474,)              | Memory: 0.1445 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1579, 6)            | Memory: 0.0722 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:588.7  Mb Total Allocated Memory:522.3  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(732, 521)           | Memory: 1.4548 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(447, 932)           | Memory: 1.5892 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(447,)               | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1579, 82)           | Memory: 0.4939 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(831, 932)           | Memory: 118.17 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(831, 3, 450)        | Memory: 166.90 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1788,)              | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(831, 482)           | Memory: 3.0558 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(447, 4)             | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(831, 3)             | Memory: 0.0190 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(732, 6)             | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1579, 6)            | Memory: 0.0722 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(447, 450)           | Memory: 0.7673 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(831,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(2493, 450)          | Memory: 85.590 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(831, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4392,)              | Memory: 0.0335 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(831, 450)           | Memory: 114.12 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2493,)              | Memory: 0.3613 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1579, 450)          | Memory: 5.4210 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9474,)              | Memory: 0.1445 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(887, 450)           | Memory: 121.81 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2375,)              | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(475,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(887, 932)           | Memory: 126.14 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(887, 4)             | Memory: 0.0270 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(887, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(887, 482)           | Memory: 3.2618 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(475, 5)             | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3548,)              | Memory: 0.5143 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(475, 932)           | Memory: 1.6887 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(887, 4, 450)        | Memory: 237.53 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(887,)               | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 20 * Size:(3548, 450)          | Memory: 121.81 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(475, 450)           | Memory: 0.8153 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:704.0  Mb Total Allocated Memory:594.9  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:704.0  Mb Total Allocated Memory:594.9  Mb

+ | 2 * Size:(1761, 450)          | Memory: 6.0459 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(811, 521)           | Memory: 1.6118 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(811, 6)             | Memory: 0.0371 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(10566,)             | Memory: 0.1612 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1761, 82)           | Memory: 0.5508 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4866,)              | Memory: 0.0371 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1761, 6)            | Memory: 0.0806 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:712.6  Mb Total Allocated Memory:613.9  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(1761, 450)          | Memory: 6.0459 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 80 * Size:(887, 450)           | Memory: 121.81 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(887, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(887, 482)           | Memory: 3.2618 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(811, 6)             | Memory: 0.0371 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(475, 450)           | Memory: 0.8153 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2375,)              | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3548,)              | Memory: 0.5143 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(887, 4)             | Memory: 0.0270 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(475, 5)             | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(475,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(10566,)             | Memory: 0.1612 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(887,)               | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1761, 6)            | Memory: 0.0806 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(811, 521)           | Memory: 1.6118 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(3548, 450)          | Memory: 121.81 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(887, 932)           | Memory: 126.14 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(887, 4, 450)        | Memory: 237.53 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1761, 82)           | Memory: 0.5508 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4866,)              | Memory: 0.0371 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(475, 932)           | Memory: 1.6887 M | <class 'torch.Tensor'> | torch.float32

